STATISTIQUES DISCORD (depuis 2025-01-01 jusqu'à 2025-12-28)
Total messages analysés: 32543

MESSAGES PAR JOUR
legends.gw : 23
alex7209uwu : 22
deleted_user_59ece4b7cc05 : 19
vulzee2_12403 : 19
royal_pizza67892 : 18
_frust_ : 17
dayeetdude : 15
thoshu : 14
tom_16 : 13
signe_x : 12
w3ryoff : 11
kanaii_ : 11
cryoxx_ : 11
ddbgtheone : 10
selver_0ff : 10
thepandaroux__ : 9
.powerdrake : 8
norazox : 8
.alex7209 : 7
le.mec.en.bleu : 7
benj997 : 7
jinxy_off : 6
accountnoverrified : 5
etiz : 5
vd3mz : 5
rorolepeorll_1 : 5
dreep_09 : 5
lilymama37_57400 : 5
lord_mecanique : 4
dindon_mignon : 4
firinila : 4
fozouu : 4
s.e.l.e.n.a_ : 4
takii1001 : 4
chabadas : 4
pommecrafter : 4
kyosyx : 3
kailrobin : 3
didisushiasiate : 3
tarbot666 : 3
lostguppy150 : 3
zarix_youtube : 3
ronrongla : 3
legentilfaucheur : 3
xbeep. : 3
gitan2_ikea : 3
lavraimia_laqueen : 3
azzhakka : 2
serial_designation_m2 : 2
alex_fr38 : 2
symixmc : 2
sahran.ch : 2
anarayeh : 2
the_wyter : 2
kevin79763 : 2
foxidu44 : 2
zorde33 : 2
deleted_user_f586706d3c8f : 2
dyponmc : 2
djaxx38 : 2
fireofnobody : 2
yukooff : 2
diegonesta59 : 2
salamix__ : 2
ovagne : 2
komafeu : 2
slowereuh : 2
angelobg : 2
levraishinichiro : 2
noelevrai : 2
zafarin_64987 : 1
pierroalbertosaureofficiel : 1
salutlastreet : 1
aw80904 : 1
ensahnori : 1
albiro036 : 1
rtzlopo : 1
mathysmario : 1
noctyra.dev : 1
jai_perdu_mon_phone_dans_leau : 1
sylwalker_4557 : 1
gagathe3807 : 1
darkjames12 : 1
anthony0358 : 1
uufheonixredkps : 1
kpopfan908 : 1
